# cum_return=0.253493	ann_return=0.315677	sharpe=1.972783	max_dd=0.064264	n_days=189	daily_mean=0.001253	daily_std=0.010080
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2025-07-01	10000.0000	0.0000
2025-07-02	10148.7200	148.7200
2025-07-03	10254.4800	105.7600
2025-07-07	10231.9900	-22.4900
2025-07-08	10359.0400	127.0500
2025-07-09	10427.6100	68.5700
2025-07-10	10431.6800	4.0700
2025-07-11	10487.3000	55.6200
2025-07-14	10554.7800	67.4800
2025-07-15	10594.5200	39.7400
2025-07-16	10600.4800	5.9600
2025-07-17	10659.9300	59.4500
2025-07-18	10691.2000	31.2700
2025-07-21	10696.4800	5.2800
2025-07-22	10796.1300	99.6500
2025-07-23	10880.3000	84.1700
2025-07-24	10962.5000	82.2000
2025-07-25	10773.4550	-189.0450
2025-07-28	10769.2650	-4.1900
2025-07-29	10706.7650	-62.5000
2025-07-30	10657.8150	-48.9500
2025-07-31	10746.4250	88.6100
2025-08-01	10707.4850	-38.9400
2025-08-04	10732.5550	25.0700
2025-08-05	10782.3950	49.8400
2025-08-06	10650.8550	-131.5400
2025-08-07	10412.4550	-238.4000
2025-08-08	10306.2550	-106.2000
2025-08-11	10406.1450	99.8900
2025-08-12	10467.5250	61.3800
2025-08-13	10467.7350	0.2100
2025-08-14	10707.2200	239.4850
2025-08-15	10852.7250	145.5050
2025-08-18	10764.8850	-87.8400
2025-08-19	11010.6850	245.8000
2025-08-20	11224.4550	213.7700
2025-08-21	11226.3350	1.8800
2025-08-22	11211.4950	-14.8400
2025-08-25	11248.8950	37.4000
2025-08-26	11293.6050	44.7100
2025-08-27	11260.4250	-33.1800
2025-08-28	11279.5750	19.1500
2025-08-29	11195.0850	-84.4900
2025-09-02	11207.0850	12.0000
2025-09-03	11218.6450	11.5600
2025-09-04	11236.2750	17.6300
2025-09-05	11238.2650	1.9900
2025-09-08	11224.1250	-14.1400
2025-09-09	11331.8100	107.6850
2025-09-10	11454.2950	122.4850
2025-09-11	11349.5450	-104.7500
2025-09-12	11216.8150	-132.7300
2025-09-15	11254.4750	37.6600
2025-09-16	11363.0200	108.5450
2025-09-17	11291.2150	-71.8050
2025-09-18	11866.5800	575.3650
2025-09-19	11824.9150	-41.6650
2025-09-22	11799.0850	-25.8300
2025-09-23	11745.8950	-53.1900
2025-09-24	11651.7850	-94.1100
2025-09-25	11336.3250	-315.4600
2025-09-26	11301.9050	-34.4200
2025-09-29	11412.4000	110.4950
