# cum_return=-0.089083	ann_return=-0.114587	sharpe=-0.792027	max_dd=0.170404	n_days=189	daily_mean=-0.000455	daily_std=0.009114
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2025-07-01	10000.0000	0.0000
2025-07-02	9921.1500	-78.8500
2025-07-03	9970.5100	49.3600
2025-07-07	10035.9100	65.4000
2025-07-08	10057.1400	21.2300
2025-07-09	10027.8800	-29.2600
2025-07-10	9990.4100	-37.4700
2025-07-11	10065.4400	75.0300
2025-07-14	9983.9500	-81.4900
2025-07-15	10059.7700	75.8200
2025-07-16	10107.8000	48.0300
2025-07-17	10065.4600	-42.3400
2025-07-18	9833.5700	-231.8900
2025-07-21	9909.4200	75.8500
2025-07-22	9837.5800	-71.8400
2025-07-23	9674.2400	-163.3400
2025-07-24	9691.0450	16.8050
2025-07-25	9746.6350	55.5900
2025-07-28	9706.6650	-39.9700
2025-07-29	9760.9950	54.3300
2025-07-30	9712.3650	-48.6300
2025-07-31	9770.6550	58.2900
2025-08-01	9700.2050	-70.4500
2025-08-04	9683.5250	-16.6800
2025-08-05	9657.6950	-25.8300
2025-08-06	9704.1900	46.4950
2025-08-07	9691.7200	-12.4700
2025-08-08	9625.9300	-65.7900
2025-08-11	9647.1600	21.2300
2025-08-12	9660.6700	13.5100
2025-08-13	9711.1400	50.4700
2025-08-14	9647.0350	-64.1050
2025-08-15	9685.0600	38.0250
2025-08-18	9693.7200	8.6600
2025-08-19	9719.4600	25.7400
2025-08-20	9952.4800	233.0200
2025-08-21	9987.6700	35.1900
2025-08-22	9899.5200	-88.1500
2025-08-25	10003.3800	103.8600
2025-08-26	9967.7700	-35.6100
2025-08-27	9927.3300	-40.4400
2025-08-28	9876.8400	-50.4900
2025-08-29	9940.3800	63.5400
2025-09-02	9981.1400	40.7600
2025-09-03	9925.0100	-56.1300
2025-09-04	9908.5100	-16.5000
2025-09-05	9851.1100	-57.4000
2025-09-08	9810.9200	-40.1900
2025-09-09	9706.3050	-104.6150
2025-09-10	9642.5100	-63.7950
2025-09-11	9637.0000	-5.5100
2025-09-12	9570.1600	-66.8400
2025-09-15	9549.3500	-20.8100
2025-09-16	9591.0550	41.7050
2025-09-17	9706.6800	115.6250
2025-09-18	9597.8050	-108.8750
2025-09-19	9608.8700	11.0650
2025-09-22	9632.2400	23.3700
2025-09-23	9598.4700	-33.7700
2025-09-24	9567.1500	-31.3200
2025-09-25	9529.7300	-37.4200
2025-09-26	9530.9700	1.2400
2025-09-29	9449.6750	-81.2950
2025-09-30	9448.4700	-1.2050
2025-10-01	9316.2050	-132.2650
2025-10-02	9189.9600	-126.2450
2025-10-03	9281.6550	91.6950
2025-10-06	9151.0200	-130.6350
2025-10-07	9169.2300	18.2100
2025-10-08	9074.8800	-94.3500
2025-10-09	9074.8400	-0.0400
