# cum_return=-0.024814	ann_return=0.001875	sharpe=0.007071	max_dd=0.267206	n_days=189	daily_mean=0.000007	daily_std=0.016708
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2025-07-01	10000.0000	0.0000
2025-07-02	8852.1600	-1147.8400
2025-07-03	8880.1200	27.9600
2025-07-07	8919.1200	39.0000
2025-07-08	8871.0950	-48.0250
2025-07-09	8859.9600	-11.1350
2025-07-10	8833.7350	-26.2250
2025-07-11	8836.5450	2.8100
2025-07-14	8735.0250	-101.5200
2025-07-15	8605.4450	-129.5800
2025-07-16	8582.1350	-23.3100
2025-07-17	8466.3150	-115.8200
2025-07-18	8365.9500	-100.3650
2025-07-21	8338.3850	-27.5650
2025-07-22	8229.4900	-108.8950
2025-07-23	8318.0850	88.5950
2025-07-24	8211.7300	-106.3550
2025-07-25	8300.8200	89.0900
2025-07-28	8207.0600	-93.7600
2025-07-29	8105.4700	-101.5900
2025-07-30	7732.6650	-372.8050
2025-07-31	7851.9350	119.2700
2025-08-01	7615.0200	-236.9150
2025-08-04	7552.4500	-62.5700
2025-08-05	7491.4300	-61.0200
2025-08-06	7432.7750	-58.6550
2025-08-07	7428.9000	-3.8750
2025-08-08	7327.9450	-100.9550
2025-08-11	7341.3900	13.4450
2025-08-12	7441.1400	99.7500
2025-08-13	7602.7300	161.5900
2025-08-14	7714.7050	111.9750
2025-08-15	7812.0400	97.3350
2025-08-18	7850.8450	38.8050
2025-08-19	7953.1650	102.3200
2025-08-20	7916.0000	-37.1650
2025-08-21	7805.6000	-110.4000
2025-08-22	7834.4300	28.8300
2025-08-25	7806.3700	-28.0600
2025-08-26	7732.4950	-73.8750
2025-08-27	7850.4100	117.9150
2025-08-28	7874.3900	23.9800
2025-08-29	7911.4400	37.0500
2025-09-02	7963.7900	52.3500
2025-09-03	7936.3200	-27.4700
2025-09-04	7908.4000	-27.9200
2025-09-05	8032.8350	124.4350
2025-09-08	8004.4900	-28.3450
2025-09-09	8571.7450	567.2550
2025-09-10	8558.8250	-12.9200
2025-09-11	8756.7750	197.9500
2025-09-12	8690.5350	-66.2400
2025-09-15	8648.5450	-41.9900
2025-09-16	8616.1300	-32.4150
2025-09-17	8655.5250	39.3950
2025-09-18	8641.9200	-13.6050
2025-09-19	8751.5550	109.6350
2025-09-22	8820.0850	68.5300
2025-09-23	8736.3350	-83.7500
2025-09-24	8856.4450	120.1100
2025-09-25	8899.5800	43.1350
2025-09-26	8960.0350	60.4550
2025-09-29	9021.4000	61.3650
2025-09-30	9056.7850	35.3850
2025-10-01	9214.3900	157.6050
2025-10-02	9088.0450	-126.3450
2025-10-03	8964.4050	-123.6400
2025-10-06	8543.1900	-421.2150
2025-10-07	8659.8100	116.6200
2025-10-08	8579.0500	-80.7600
2025-10-09	8650.3900	71.3400
2025-10-10	8615.4250	-34.9650
2025-10-13	8673.7250	58.3000
2025-10-14	8682.5750	8.8500
2025-10-15	8468.0750	-214.5000
2025-10-16	8452.6900	-15.3850
2025-10-17	8291.4300	-161.2600
2025-10-20	8135.6800	-155.7500
2025-10-21	8108.2200	-27.4600
2025-10-22	8175.0150	66.7950
2025-10-23	7955.8250	-219.1900
2025-10-24	7935.2400	-20.5850
2025-10-27	7778.7000	-156.5400
2025-10-28	7797.7900	19.0900
2025-10-29	8137.4300	339.6400
2025-10-30	8046.6400	-90.7900
2025-10-31	8470.0400	423.4000
2025-11-03	8473.4450	3.4050
2025-11-04	8608.1250	134.6800
2025-11-05	8696.5550	88.4300
2025-11-06	8769.5950	73.0400
2025-11-07	8826.8400	57.2450
2025-11-10	8785.9800	-40.8600
2025-11-11	8800.2200	14.2400
2025-11-12	8937.0600	136.8400
2025-11-13	8907.7500	-29.3100
2025-11-14	8922.3700	14.6200
2025-11-17	9036.8150	114.4450
2025-11-18	8930.3150	-106.5000
2025-11-19	8990.4650	60.1500
2025-11-20	9025.2000	34.7350
2025-11-21	9043.1800	17.9800
2025-11-24	9081.6100	38.4300
2025-11-25	8952.4250	-129.1850
2025-11-26	8773.1650	-179.2600
2025-11-28	8639.3450	-133.8200
2025-12-01	8629.8350	-9.5100
2025-12-02	8699.2350	69.4000
2025-12-03	8493.1850	-206.0500
2025-12-04	8543.0900	49.9050
2025-12-05	8302.1350	-240.9550
2025-12-08	8236.7750	-65.3600
2025-12-09	8281.6650	44.8900
2025-12-10	8207.0100	-74.6550
2025-12-11	8274.5350	67.5250
2025-12-12	8323.1700	48.6350
2025-12-15	8237.2800	-85.8900
2025-12-16	8383.0950	145.8150
2025-12-17	8409.9850	26.8900
2025-12-18	8398.1900	-11.7950
2025-12-19	8391.7800	-6.4100
2025-12-22	8532.8200	141.0400
2025-12-23	8586.9400	54.1200
2025-12-24	8553.5200	-33.4200
2025-12-26	8621.4150	67.8950
2025-12-29	8611.2500	-10.1650
2025-12-30	8652.5450	41.2950
2025-12-31	8673.4450	20.9000
2026-01-02	8507.0050	-166.4400
2026-01-05	8553.1900	46.1850
2026-01-06	8608.2700	55.0800
2026-01-07	8638.5500	30.2800
2026-01-08	8735.8100	97.2600
2026-01-09	8657.0500	-78.7600
2026-01-12	8668.9500	11.9000
2026-01-13	8579.9500	-89.0000
2026-01-14	8550.4300	-29.5200
2026-01-15	8552.9950	2.5650
2026-01-16	8697.3250	144.3300
2026-01-20	8622.0350	-75.2900
2026-01-21	8542.7650	-79.2700
2026-01-22	8414.9350	-127.8300
2026-01-23	8644.1300	229.1950
2026-01-26	8644.6950	0.5650
2026-01-27	8972.5350	327.8400
2026-01-28	9055.3550	82.8200
2026-01-29	9109.0100	53.6550
2026-01-30	9280.0650	171.0550
2026-02-02	9248.3650	-31.7000
2026-02-03	9217.6250	-30.7400
2026-02-04	9186.6050	-31.0200
