# cum_return=0.084692	ann_return=0.133364	sharpe=0.601834	max_dd=0.136639	n_days=189	daily_mean=0.000529	daily_std=0.013959
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2025-07-01	10000.0000	0.0000
2025-07-02	9866.2800	-133.7200
2025-07-03	9892.7400	26.4600
2025-07-07	9881.5100	-11.2300
2025-07-08	10061.5700	180.0600
2025-07-09	10128.2650	66.6950
2025-07-10	10055.2350	-73.0300
2025-07-11	10048.2650	-6.9700
2025-07-14	9932.8250	-115.4400
2025-07-15	9979.8850	47.0600
2025-07-16	9988.8050	8.9200
2025-07-17	9997.8350	9.0300
2025-07-18	10035.9750	38.1400
2025-07-21	10122.2050	86.2300
2025-07-22	10192.1950	69.9900
2025-07-23	10308.7650	116.5700
2025-07-24	10364.2600	55.4950
2025-07-25	10253.0950	-111.1650
2025-07-28	10111.3400	-141.7550
2025-07-29	10091.1500	-20.1900
2025-07-30	10041.6350	-49.5150
2025-07-31	10230.8850	189.2500
2025-08-01	10280.4950	49.6100
2025-08-04	10247.0150	-33.4800
2025-08-05	10325.6950	78.6800
2025-08-06	10274.0000	-51.6950
2025-08-07	10144.5000	-129.5000
2025-08-08	10090.3100	-54.1900
2025-08-11	10160.8800	70.5700
2025-08-12	10313.5000	152.6200
2025-08-13	10440.5800	127.0800
2025-08-14	10610.1300	169.5500
2025-08-15	10639.6100	29.4800
2025-08-18	10543.8350	-95.7750
2025-08-19	10936.1050	392.2700
2025-08-20	11109.2250	173.1200
2025-08-21	11057.4250	-51.8000
2025-08-22	10996.7650	-60.6600
2025-08-25	10970.0750	-26.6900
2025-08-26	11055.4750	85.4000
2025-08-27	11075.3350	19.8600
2025-08-28	11125.3050	49.9700
2025-08-29	11176.2050	50.9000
2025-09-02	11300.4950	124.2900
2025-09-03	11361.3150	60.8200
2025-09-04	11276.7550	-84.5600
2025-09-05	11477.1100	200.3550
2025-09-08	11515.6150	38.5050
2025-09-09	11388.5700	-127.0450
2025-09-10	11470.2350	81.6650
2025-09-11	11553.3700	83.1350
2025-09-12	11422.1150	-131.2550
2025-09-15	11470.2150	48.1000
2025-09-16	11623.0550	152.8400
2025-09-17	11581.0100	-42.0450
2025-09-18	12244.8600	663.8500
2025-09-19	12184.7800	-60.0800
2025-09-22	12477.1800	292.4000
2025-09-23	12280.8700	-196.3100
2025-09-24	12212.7900	-68.0800
2025-09-25	11972.2900	-240.5000
2025-09-26	11878.6400	-93.6500
2025-09-29	12009.2000	130.5600
2025-09-30	12161.7000	152.5000
2025-10-01	11835.0650	-326.6350
2025-10-02	11703.5800	-131.4850
2025-10-03	11889.4800	185.9000
2025-10-06	11905.7350	16.2550
2025-10-07	11827.4350	-78.3000
2025-10-08	11856.1800	28.7450
2025-10-09	11828.1750	-28.0050
2025-10-10	11766.1800	-61.9950
2025-10-13	11778.7500	12.5700
2025-10-14	11679.8050	-98.9450
2025-10-15	11517.3600	-162.4450
2025-10-16	11646.9950	129.6350
2025-10-17	11652.3700	5.3750
2025-10-20	11560.3200	-92.0500
2025-10-21	11635.3500	75.0300
2025-10-22	11653.3800	18.0300
2025-10-23	11243.3900	-409.9900
2025-10-24	11318.1800	74.7900
2025-10-27	11211.5350	-106.6450
2025-10-28	11224.3550	12.8200
2025-10-29	11383.9200	159.5650
2025-10-30	11584.8550	200.9350
2025-10-31	11637.5700	52.7150
2025-11-03	11978.9200	341.3500
2025-11-04	12319.6350	340.7150
2025-11-05	12088.4250	-231.2100
2025-11-06	11940.8150	-147.6100
2025-11-07	11841.6550	-99.1600
2025-11-10	11731.8350	-109.8200
2025-11-11	11653.0900	-78.7450
2025-11-12	11608.4200	-44.6700
2025-11-13	11660.4600	52.0400
2025-11-14	11801.1200	140.6600
2025-11-17	11774.1950	-26.9250
2025-11-18	11794.7850	20.5900
2025-11-19	11769.3950	-25.3900
2025-11-20	11789.8950	20.5000
2025-11-21	11698.0700	-91.8250
2025-11-24	11755.5250	57.4550
2025-11-25	11683.1900	-72.3350
2025-11-26	11657.7000	-25.4900
2025-11-28	11284.0700	-373.6300
2025-12-01	11356.6000	72.5300
2025-12-02	11198.9450	-157.6550
2025-12-03	11315.4200	116.4750
2025-12-04	11546.8550	231.4350
2025-12-05	11468.3800	-78.4750
2025-12-08	11628.2400	159.8600
2025-12-09	11534.3600	-93.8800
2025-12-10	11600.3500	65.9900
2025-12-11	11717.3400	116.9900
2025-12-12	11771.7250	54.3850
2025-12-15	11791.5200	19.7950
2025-12-16	11716.5300	-74.9900
2025-12-17	11877.6200	161.0900
2025-12-18	11881.2300	3.6100
2025-12-19	11967.4500	86.2200
2025-12-22	11956.7850	-10.6650
2025-12-23	12073.6300	116.8450
2025-12-24	12087.1550	13.5250
2025-12-26	12066.5700	-20.5850
2025-12-29	12020.6550	-45.9150
2025-12-30	11977.7850	-42.8700
2025-12-31	11996.6350	18.8500
2026-01-02	11857.0000	-139.6350
2026-01-05	12082.0500	225.0500
2026-01-06	11943.9250	-138.1250
2026-01-07	11803.1600	-140.7650
2026-01-08	11801.6950	-1.4650
2026-01-09	11422.4650	-379.2300
2026-01-12	11502.7450	80.2800
2026-01-13	11301.6200	-201.1250
2026-01-14	11154.3950	-147.2250
2026-01-15	11247.1100	92.7150
2026-01-16	11308.8000	61.6900
2026-01-20	11071.5500	-237.2500
2026-01-21	10772.3050	-299.2450
2026-01-22	10776.8650	4.5600
2026-01-23	11316.3050	539.4400
2026-01-26	11423.6700	107.3650
2026-01-27	11846.9850	423.3150
2026-01-28	11314.1150	-532.8700
2026-01-29	11417.6950	103.5800
2026-01-30	11465.5050	47.8100
2026-02-02	11256.0350	-209.4700
2026-02-03	11265.0550	9.0200
2026-02-04	11243.1600	-21.8950
2026-02-05	11215.4200	-27.7400
2026-02-06	10780.9800	-434.4400
2026-02-09	10797.8350	16.8550
2026-02-10	11009.4850	211.6500
2026-02-11	10803.1150	-206.3700
2026-02-12	10794.2450	-8.8700
2026-02-13	10841.3950	47.1500
2026-02-17	10952.3200	110.9250
2026-02-18	11191.6400	239.3200
2026-02-19	11270.1900	78.5500
2026-02-20	11383.1350	112.9450
2026-02-23	11382.5000	-0.6350
2026-02-24	11179.6000	-202.9000
2026-02-25	11096.9750	-82.6250
2026-02-26	11178.2000	81.2250
2026-02-27	11128.2700	-49.9300
2026-03-02	11387.6700	259.4000
2026-03-03	11527.1500	139.4800
2026-03-04	11535.0900	7.9400
2026-03-05	11444.8200	-90.2700
2026-03-06	11571.1800	126.3600
2026-03-09	11509.7150	-61.4650
2026-03-10	11168.7900	-340.9250
2026-03-11	11145.6600	-23.1300
2026-03-12	11172.2100	26.5500
2026-03-13	11004.9250	-167.2850
2026-03-16	11105.3500	100.4250
2026-03-17	11213.1850	107.8350
2026-03-18	11244.6850	31.5000
2026-03-19	10994.5850	-250.1000
2026-03-20	10958.2050	-36.3800
2026-03-23	10891.1200	-67.0850
2026-03-24	11001.4300	110.3100
2026-03-25	10778.5350	-222.8950
2026-03-26	10915.3700	136.8350
2026-03-27	10886.9450	-28.4250
2026-03-30	10896.3750	9.4300
2026-03-31	10846.9200	-49.4550
