# cum_return=-0.115207	ann_return=-1.598980	sharpe=-7.978497	max_dd=0.115772	n_days=20	daily_mean=-0.006345	daily_std=0.012625
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2026-04-01	10000.0000	0.0000
2026-04-02	9959.5000	-40.5000
2026-04-06	10001.0950	41.5950
2026-04-07	9734.7900	-266.3050
2026-04-08	9705.1950	-29.5950
2026-04-09	9704.8300	-0.3650
2026-04-10	9599.6650	-105.1650
2026-04-13	9553.5300	-46.1350
2026-04-14	9455.3600	-98.1700
2026-04-15	9476.7650	21.4050
2026-04-16	9414.3850	-62.3800
2026-04-17	9364.7250	-49.6600
2026-04-20	9524.7200	159.9950
2026-04-21	9174.6100	-350.1100
2026-04-22	9072.6000	-102.0100
2026-04-23	9024.0000	-48.6000
2026-04-24	8843.2500	-180.7500
2026-04-27	8961.9300	118.6800
2026-04-28	8968.9550	7.0250
2026-04-29	8847.9350	-121.0200
