basket_id	position	entry_date	exit_date	days_held	bars_held	entry_z	exit_z	max_adverse_z	max_adverse_date	days_to_max_adverse	max_favorable_z	entry_spread	exit_spread	spread_move	exit_reason
faang:AAPL:2026-05-04:b32f6a10	-1	2026-04-01	2026-04-01	0	0	0.364777	0.364777	0.000000	2026-04-01	0	0.000000	-0.15463235	-0.15463235	-0.00000000	engine_flatten
hc_providers:ELV:2026-05-04:5e5c0024	-1	2026-04-01	2026-04-01	0	0	0.253896	0.253896	0.000000	2026-04-01	0	0.000000	0.73659189	0.73659189	-0.00000000	engine_flatten
faang:AAPL:2026-05-04:b32f6a10	-1	2026-04-02	2026-04-02	0	0	0.391442	0.391442	0.000000	2026-04-02	0	0.000000	-0.15305115	-0.15305115	-0.00000000	engine_flatten
utilities:SO:2026-05-04:402f6c37	-1	2026-04-01	2026-04-02	1	1	0.640903	0.381560	0.000000	2026-04-01	0	0.259342	0.11347045	0.11033861	0.00313184	engine_flatten
utilities:D:2026-05-04:4c6e8788	-1	2026-04-02	2026-04-02	0	0	0.273463	0.273463	0.000000	2026-04-02	0	0.000000	-0.41710731	-0.41710731	-0.00000000	engine_flatten
entsw:ADBE:2026-05-04:cc124e1d	1	2026-04-01	2026-04-06	5	2	-0.626117	-0.289190	0.018299	2026-04-02	1	0.336927	-0.04485712	-0.03231485	0.01254228	engine_flatten
banks_regional:PNC:2026-05-04:0466d843	-1	2026-04-02	2026-04-06	4	1	0.455573	0.228199	0.000000	2026-04-02	0	0.227374	1.97985420	1.97651249	0.00334171	engine_flatten
hc_providers:ELV:2026-05-04:5e5c0024	1	2026-04-07	2026-04-07	0	0	-0.279729	-0.279729	0.000000	2026-04-07	0	0.000000	0.70791828	0.70791828	0.00000000	engine_flatten
utilities:D:2026-05-04:4c6e8788	-1	2026-04-07	2026-04-07	0	0	0.269798	0.269798	0.000000	2026-04-07	0	0.000000	-0.41725062	-0.41725062	-0.00000000	engine_flatten
utilities:SO:2026-05-04:402f6c37	-1	2026-04-06	2026-04-07	1	1	0.428014	-0.100496	0.000000	2026-04-06	0	0.528510	0.11089958	0.10451725	0.00638233	engine_flatten
faang:AAPL:2026-05-04:b32f6a10	-1	2026-04-06	2026-04-07	1	1	0.497870	0.053556	0.000000	2026-04-06	0	0.444314	-0.14674015	-0.17308713	0.02634699	engine_flatten
entsw:ADBE:2026-05-04:cc124e1d	1	2026-04-07	2026-04-08	1	1	-0.470418	-0.059578	0.000000	2026-04-07	0	0.410840	-0.03906116	-0.02376743	0.01529374	engine_flatten
faang:AAPL:2026-05-04:b32f6a10	1	2026-04-09	2026-04-09	0	0	-0.347561	-0.347561	0.000000	2026-04-09	0	0.000000	-0.19687263	-0.19687263	0.00000000	engine_flatten
banks_regional:PNC:2026-05-04:0466d843	-1	2026-04-07	2026-04-09	2	2	0.532673	0.036333	0.026910	2026-04-08	1	0.496340	1.98098732	1.97369264	0.00729468	engine_flatten
faang:AAPL:2026-05-04:b32f6a10	1	2026-04-10	2026-04-10	0	0	-0.478552	-0.478552	0.000000	2026-04-10	0	0.000000	-0.20464013	-0.20464013	0.00000000	engine_flatten
banks_regional:PNC:2026-05-04:0466d843	-1	2026-04-10	2026-04-10	0	0	0.404352	0.404352	0.000000	2026-04-10	0	0.000000	1.97910140	1.97910140	-0.00000000	engine_flatten
hc_providers:ELV:2026-05-04:5e5c0024	1	2026-04-10	2026-04-10	0	0	-0.337072	-0.337072	0.000000	2026-04-10	0	0.000000	0.70483702	0.70483702	0.00000000	engine_flatten
entsw:ADBE:2026-05-04:cc124e1d	1	2026-04-10	2026-04-10	0	0	-0.302094	-0.302094	0.000000	2026-04-10	0	0.000000	-0.03279523	-0.03279523	0.00000000	engine_flatten
hc_providers:ELV:2026-05-04:5e5c0024	1	2026-04-13	2026-04-13	0	0	-0.452617	-0.452617	0.000000	2026-04-13	0	0.000000	0.69862839	0.69862839	0.00000000	engine_flatten
utilities:SO:2026-05-04:402f6c37	1	2026-04-09	2026-04-13	4	2	-0.768925	-0.387811	0.000000	2026-04-09	0	0.381114	0.09644523	0.10104761	0.00460237	engine_flatten
utilities:D:2026-05-04:4c6e8788	-1	2026-04-08	2026-04-14	6	4	0.372758	0.876169	0.503410	2026-04-14	6	0.000000	-0.41322564	-0.39354611	-0.01967953	engine_flatten
hc_providers:ELV:2026-05-04:5e5c0024	1	2026-04-14	2026-04-14	0	0	-0.478711	-0.478711	0.000000	2026-04-14	0	0.000000	0.69722629	0.69722629	0.00000000	engine_flatten
utilities:SO:2026-05-04:402f6c37	1	2026-04-14	2026-04-14	0	0	-0.472536	-0.472536	0.000000	2026-04-14	0	0.000000	0.10002446	0.10002446	0.00000000	engine_flatten
utilities:SO:2026-05-04:402f6c37	1	2026-04-15	2026-04-15	0	0	-0.766293	-0.766293	0.000000	2026-04-15	0	0.000000	0.09647702	0.09647702	0.00000000	engine_flatten
utilities:D:2026-05-04:4c6e8788	-1	2026-04-15	2026-04-15	0	0	0.619017	0.619017	0.000000	2026-04-15	0	0.000000	-0.40359879	-0.40359879	-0.00000000	engine_flatten
hc_providers:ELV:2026-05-04:5e5c0024	1	2026-04-15	2026-04-15	0	0	-0.605439	-0.605439	0.000000	2026-04-15	0	0.000000	0.69041671	0.69041671	0.00000000	engine_flatten
hc_providers:ELV:2026-05-04:5e5c0024	1	2026-04-16	2026-04-16	0	0	-0.698270	-0.698270	0.000000	2026-04-16	0	0.000000	0.68542857	0.68542857	0.00000000	engine_flatten
