basket_id	position	entry_date	exit_date	days_held	bars_held	entry_z	exit_z	max_adverse_z	max_adverse_date	days_to_max_adverse	max_favorable_z	entry_spread	exit_spread	spread_move	exit_reason
faang:AAPL:2026-05-04:b32f6a10	-1	2026-04-01	2026-04-01	0	0	0.364777	0.364777	0.000000	2026-04-01	0	0.000000	-0.15463235	-0.15463235	-0.00000000	engine_flatten
hc_providers:ELV:2026-05-04:5e5c0024	-1	2026-04-01	2026-04-01	0	0	0.253896	0.253896	0.000000	2026-04-01	0	0.000000	0.73659189	0.73659189	-0.00000000	engine_flatten
faang:AAPL:2026-05-04:b32f6a10	-1	2026-04-02	2026-04-02	0	0	0.391442	0.391442	0.000000	2026-04-02	0	0.000000	-0.15305115	-0.15305115	-0.00000000	engine_flatten
utilities:SO:2026-05-04:402f6c37	-1	2026-04-01	2026-04-02	1	1	0.640903	0.381560	0.000000	2026-04-01	0	0.259342	0.11347045	0.11033861	0.00313184	engine_flatten
utilities:D:2026-05-04:4c6e8788	-1	2026-04-02	2026-04-02	0	0	0.273463	0.273463	0.000000	2026-04-02	0	0.000000	-0.41710731	-0.41710731	-0.00000000	engine_flatten
entsw:ADBE:2026-05-04:cc124e1d	1	2026-04-01	2026-04-06	5	2	-0.626117	-0.289190	0.018299	2026-04-02	1	0.336927	-0.04485712	-0.03231485	0.01254228	engine_flatten
banks_regional:PNC:2026-05-04:0466d843	-1	2026-04-02	2026-04-06	4	1	0.455573	0.228199	0.000000	2026-04-02	0	0.227374	1.97985420	1.97651249	0.00334171	engine_flatten
energy:COP:2026-05-04:1bf510c2	-1	2026-04-01	2026-04-07	6	3	1.294156	2.149753	1.096310	2026-04-06	5	0.000000	-0.17234064	-0.16195330	-0.01038733	max_hold_exit
utilities:D:2026-05-04:4c6e8788	-1	2026-04-07	2026-04-07	0	0	0.269798	0.269798	0.000000	2026-04-07	0	0.000000	-0.41725062	-0.41725062	-0.00000000	engine_flatten
utilities:SO:2026-05-04:402f6c37	-1	2026-04-06	2026-04-07	1	1	0.428014	-0.100496	0.000000	2026-04-06	0	0.528510	0.11089958	0.10451725	0.00638233	engine_flatten
faang:AAPL:2026-05-04:b32f6a10	-1	2026-04-06	2026-04-07	1	1	0.497870	0.053556	0.000000	2026-04-06	0	0.444314	-0.14674015	-0.17308713	0.02634699	engine_flatten
entsw:ADBE:2026-05-04:cc124e1d	1	2026-04-07	2026-04-08	1	1	-0.470418	-0.059578	0.000000	2026-04-07	0	0.410840	-0.03906116	-0.02376743	0.01529374	engine_flatten
chips:NVDA:2026-05-04:6b8cb6c3	1	2026-04-01	2026-04-09	8	5	-0.809643	-4.398165	3.588522	2026-04-09	8	0.000000	-0.15964709	-0.25891054	-0.09926345	max_hold_exit
insurance:PGR:2026-05-04:1d452571	1	2026-04-01	2026-04-09	8	5	-2.138284	-2.019533	0.068806	2026-04-08	7	0.388557	0.43087436	0.43338525	0.00251089	max_hold_exit
entsw:ADBE:2026-05-04:cc124e1d	1	2026-04-10	2026-04-10	0	0	-0.302094	-0.302094	0.000000	2026-04-10	0	0.000000	-0.03279523	-0.03279523	0.00000000	engine_flatten
banks_regional:PNC:2026-05-04:0466d843	-1	2026-04-07	2026-04-14	7	5	0.532673	-0.134853	0.026910	2026-04-08	1	0.667526	1.98098732	1.97117673	0.00981059	engine_flatten
hc_providers:UNH:2026-05-04:852cd8fa	-1	2026-04-01	2026-04-16	15	10	0.717529	1.854940	1.421199	2026-04-15	14	0.153784	0.63280283	0.68782064	-0.05501781	max_hold_exit
utilities:SO:2026-05-04:402f6c37	1	2026-04-09	2026-04-17	8	6	-0.768925	-0.640254	0.000000	2026-04-09	0	0.381114	0.09644523	0.09799908	0.00155385	max_hold_exit
hc_providers:ELV:2026-05-04:5e5c0024	1	2026-04-07	2026-04-23	16	12	-0.279729	-0.486729	0.488837	2026-04-22	15	0.081004	0.70791828	0.69679541	-0.01112287	max_hold_exit
banks_regional:PNC:2026-05-04:0466d843	-1	2026-04-21	2026-04-24	3	3	0.477677	-0.546581	0.000000	2026-04-21	0	1.024258	1.98017906	1.96512559	0.01505347	flip_short_to_long
entsw:ADBE:2026-05-04:cc124e1d	1	2026-04-14	2026-04-28	14	10	-0.958346	-1.307375	1.026865	2026-04-21	7	0.000000	-0.05722453	-0.07021734	-0.01299281	max_hold_exit
banks_regional:PNC:2026-05-04:0466d843	1	2026-04-24	2026-04-29	5	3	-0.546581	-1.084523	0.580154	2026-04-28	4	0.000000	1.96512559	1.95721948	-0.00790611	window_end
energy:XOM:2026-05-04:14c4508a	1	2026-04-01	2026-04-29	28	19	-1.119250	-1.824336	0.705086	2026-04-29	28	0.521168	0.09716909	0.06836024	-0.02880885	window_end
utilities:D:2026-05-04:4c6e8788	-1	2026-04-08	2026-04-29	21	15	0.372758	0.726438	0.503410	2026-04-14	6	0.000000	-0.41322564	-0.39939942	-0.01382621	window_end
faang:AAPL:2026-05-04:b32f6a10	1	2026-04-09	2026-04-29	20	14	-0.347561	-1.543406	1.491566	2026-04-27	18	0.000000	-0.19687263	-0.26778400	-0.07091137	window_end
hc_providers:CI:2026-05-04:337508e7	1	2026-04-01	2026-04-29	28	19	-0.392149	-2.752545	2.360396	2026-04-29	28	0.000000	0.60381950	0.35539373	-0.24842577	window_end
