# cum_return=-0.144949	ann_return=-2.051922	sharpe=-11.100470	max_dd=0.145043	n_days=20	daily_mean=-0.008143	daily_std=0.011644
# daily_portfolio_pnl
date	equity	daily_pnl_dollar
2026-04-01	10000.0000	0.0000
2026-04-02	9959.5000	-40.5000
2026-04-06	10001.0950	41.5950
2026-04-07	9734.7900	-266.3050
2026-04-08	9705.1950	-29.5950
2026-04-09	9704.4350	-0.7600
2026-04-10	9584.0150	-120.4200
2026-04-13	9496.6250	-87.3900
2026-04-14	9341.4450	-155.1800
2026-04-15	9314.1650	-27.2800
2026-04-16	9313.7850	-0.3800
2026-04-17	9303.4250	-10.3600
2026-04-20	9344.7400	41.3150
2026-04-21	8964.4300	-380.3100
2026-04-22	9000.8850	36.4550
2026-04-23	9019.3850	18.5000
2026-04-24	8867.5400	-151.8450
2026-04-27	8741.8650	-125.6750
2026-04-28	8625.0050	-116.8600
2026-04-29	8550.5100	-74.4950
